wikidata,local_id,osm_id,geom,wikidataLabel
http://www.wikidata.org/entity/Q2143798,05400,1307235,Point(-75.361111111 5.972777777),La Unión
http://www.wikidata.org/entity/Q1576529,05411,1307268,Point(-75.812222222 6.678055555),Liborina
http://www.wikidata.org/entity/Q1576486,05425,1307266,Point(-74.787222222 6.553333333),Maceo
http://www.wikidata.org/entity/Q2088084,05440,1343285,Point(-75.338888888 6.174444444),Marinilla
http://www.wikidata.org/entity/Q1577236,05467,1350586,Point(-75.523888888 5.944722222),Montebello
http://www.wikidata.org/entity/Q1655857,05475,1343261,Point(-76.753055555 6.985),Murindó
http://www.wikidata.org/entity/Q1525997,05480,2182325,Point(-76.435833333 7.243333333),Mutatá
http://www.wikidata.org/entity/Q590382,05483,1307018,Point(-75.176388888 5.609166666),Nariño
http://www.wikidata.org/entity/Q976938,05490,1343461,Point(-76.783888888 8.425833333),Necoclí
http://www.wikidata.org/entity/Q1441743,05495,1324940,Point(-74.775 8.095833333),Nechí
http://www.wikidata.org/entity/Q1656222,05501,1350647,Point(-75.811944444 6.627777777),Olaya
http://www.wikidata.org/entity/Q1525273,05541,1343259,Point(-75.241944444 6.218888888),El Peñol
http://www.wikidata.org/entity/Q1577164,05543,1316176,Point(-75.909444444 7.021388888),Peque
http://www.wikidata.org/entity/Q1576028,05576,1307002,Point(-75.840555555 5.790555555),Pueblorrico
http://www.wikidata.org/entity/Q1946640,05579,1307288,Point(-74.404722222 6.490555555),Puerto Berrío
http://www.wikidata.org/entity/Q1526008,05585,1307241,Point(-74.583611111 6.184444444),Puerto Nare
http://www.wikidata.org/entity/Q932785,05591,1348653,Point(-74.639722222 5.872777777),Puerto Triunfo
http://www.wikidata.org/entity/Q1441733,05604,1316184,Point(-74.693888888 7.0275),Remedios
http://www.wikidata.org/entity/Q1525690,05607,1350575,Point(-75.503888888 6.059722222),El Retiro
http://www.wikidata.org/entity/Q1774644,05615,3947503,Point(-75.374166666 6.153333333),Rionegro
http://www.wikidata.org/entity/Q589862,05628,1316171,Point(-75.816944444 6.848333333),Sabanalarga
http://www.wikidata.org/entity/Q1770717,05631,1307270,Point(-75.615 6.150833333),Sabaneta
http://www.wikidata.org/entity/Q1525126,05642,1307289,Point(-75.9775 5.963888888),Salgar
http://www.wikidata.org/entity/Q2433819,05647,1316169,Point(-75.675833333 6.914444444),San Andrés de Cuerquia
http://www.wikidata.org/entity/Q2433839,05649,1307240,Point(-74.992222222 6.187222222),San Carlos
http://www.wikidata.org/entity/Q975641,05652,1348660,Point(-75.101666666 5.964166666),San Francisco
http://www.wikidata.org/entity/Q1526016,05656,1343276,Point(-75.727777777 6.441666666),San Jerónimo
http://www.wikidata.org/entity/Q1655028,05658,1316181,Point(-75.683611111 6.849722222),San José de la Montaña
http://www.wikidata.org/entity/Q1441760,05659,1343471,Point(-76.528611111 8.761111111),San Juan de Urabá
http://www.wikidata.org/entity/Q2057762,05660,1350644,Point(-74.993333333 6.042222222),San Luis
http://www.wikidata.org/entity/Q1441754,05664,1307269,Point(-75.557777777 6.459444444),San Pedro de los Milagros
http://www.wikidata.org/entity/Q1391914,05665,1324933,Point(-76.376944444 8.275),San Pedro de Urabá
http://www.wikidata.org/entity/Q1526004,05667,1307239,Point(-75.028055555 6.295),San Rafael
http://www.wikidata.org/entity/Q1525767,05670,1307292,Point(-75.019722222 6.485277777),San Roque
http://www.wikidata.org/entity/Q1525987,05674,3947504,Point(-75.332222222 6.281944444),San Vicente Ferrer
http://www.wikidata.org/entity/Q1441781,05679,1307234,Point(-75.566111111 5.874722222),Santa Bárbara
http://www.wikidata.org/entity/Q2088093,05686,1307260,Point(-75.460555555 6.647222222),Santa Rosa de Osos
http://www.wikidata.org/entity/Q1578783,05690,1307273,Point(-75.165833333 6.470833333),Santo Domingo
http://www.wikidata.org/entity/Q1440830,05697,1307242,Point(-75.263888888 6.1375),El Santuario
http://www.wikidata.org/entity/Q2274555,05736,1316170,Point(-74.701666666 7.078055555),Segovia
http://www.wikidata.org/entity/Q649293,05756,1307009,Point(-75.310555555 5.709444444),Sonsón
http://www.wikidata.org/entity/Q1525131,05761,1343269,Point(-75.743333333 6.501666666),Sopetrán
http://www.wikidata.org/entity/Q1526001,05789,1307005,Point(-75.714444444 5.664722222),Támesis
http://www.wikidata.org/entity/Q2075499,05790,1343444,Point(-75.400277777 7.583888888),Tarazá
http://www.wikidata.org/entity/Q1578758,05792,1350634,Point(-75.8225 5.865),Tarso
http://www.wikidata.org/entity/Q544083,05809,1307285,Point(-75.793611111 6.0625),Titiribí
http://www.wikidata.org/entity/Q2078498,05819,1316180,Point(-75.701666666 7.010277777),Toledo
