jurisd,jurisd_id,osm_id,jurisdLabel,population,date,method,ref
http://www.wikidata.org/entity/Q22062759,3108107,315425,Bonfim,6852,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1792291,3108206,315036,Bonfinópolis de Minas,5397,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1791871,3108255,315171,Bonito de Minas,11502,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1792820,3108305,315242,Borda da Mata,19809,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1756413,3108404,314894,Botelhos,14927,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1749817,3108503,314812,Botumirim,6259,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1792033,3108552,314931,Brasilândia de Minas,16950,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q22062752,3108602,314660,Brasília de Minas,32460,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q668048,3108701,314624,Brás Pires,4255,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q252608,3108800,314589,Braúnas,4737,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1749826,3108909,314781,Brasópolis,14364,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1751212,3109006,314762,Brumadinho,41208,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1792008,3109105,314742,Bueno Brandão,10982,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1756275,3109204,315331,Buenópolis,10342,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1793226,3109253,315336,Bugre,3984,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1792148,3109303,315293,Buritis,25179,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1792028,3109402,315097,Buritizeiro,28184,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1756530,3109451,315196,Cabeceira Grande,7025,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q22062741,3109501,315232,Cabo Verde,14074,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
