donor_id,filename_original,package_path,de_sha256,para_url
76000021,lotes.zip,BR/data/SP/Atibaia/_pk0021.01,b6221fa57754ec8c4db284591a6ceeea7acf986eb215b2e521647e32fb175488.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EVcSpDXYq9ZIpFt0FklcKnQBydyjyMD3noD2dxnApD3pDA
76000021,edificacoes.zip,BR/data/SP/Atibaia/_pk0021.01,6d741572b6c31ffd82cf004b92fa98056545df805bcb64afba5e7b26e32b62ab.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EYOl2a1nq_NHkyEPSx-EjQIB16iiG8DO91vafM4X8y7qbw
76000021,BR-SP-Atibaia-license-2020-09-10.eml,BR/data/SP/Atibaia/_pk0021.01,7adf2a2ec5348c05db9a52eedccdfb065352d363ff617d6167cf6202e30ee4af.eml,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=Ec9yazcJshxNk3LdxSyQ-nkBca2LIEVH3lOPoayL0AzYJA
76000016,Lotes.zip,BR/data/RJ/Niteroi/_pk0016.01,28a58775de4efcd83440c831044f3ac321895e4e6b3e5a9bc4ce7bfc2d208c22.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EWLyZdAkkWhKoaHpEwj7xqoBcUHw7V9Su-rGsiUdt5AnWw
76000076,block.zip,BR/data/RS/Canoas/_pk0076.01,23916aea28282c1c2485ff18fa561728bcfc087c2999d9a9575658e32a66f782.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EdTr-o5wcOZFvHLJplvTBV4BDoWhyW8yKykDKWlFDXfRSg
76000076,building.zip,BR/data/RS/Canoas/_pk0076.01,6536687209661fd36ce85976660e736b76cb2597c9a6402df810fe623aa2e569.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EYJtwko_mWdHlaE_B4X7NhABV3keEBKYKveHEJu7bEjNEA
76000076,nsvia.zip,BR/data/RS/Canoas/_pk0076.01,62972bc1f5accf55c5ea97f9154f246a111cde13c4da881798668e12b0a03a41.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EVv5vIGtGbFJvQYFWWjxrn8BPiyeof2IfXnAIk6OJvAghw
76000076,parcel.zip,BR/data/RS/Canoas/_pk0076.01,4f5971ab149c0d936a315fff94fdd8ee5fb2410f2a472b3eaf0d33666ee1043d.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=ERZiDikz9vJIneQ3S9jjuZsBn_DK7320o7mVFEVCYcowHQ
76000076,via.zip,BR/data/RS/Canoas/_pk0076.01,8dd9b6e7e03435fd0adb687313f754cfd76488f13a4b3cfdcc17a4b8c317be87.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EZQmQuSCadJBsfwi58wlUx8BS-FqjFxfxwSH2eZ2b9R3dg
76000064,block.zip,BR/data/RS/SantaCruzSul/_pk0064.01,a3eab1ae42ce304d9bbd119ebb769b6c93c40f04b1f09c6e0e9ec322320da7ff.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EeLYMHE64l9Bv6pOnPqaA4sBqXrHwQvXdfnIBwkyAlrZGw
76000064,nsvia.zip,BR/data/RS/SantaCruzSul/_pk0064.01,8cfffc8d4ab052dd653748fd22c52ad708609e8c3c30283f57a7b2627fbf8aca.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=Ee_G0xzsi8FLkck7Qg5WdmwB5yLcGUhOtQPxNwjg5SgmLA
76000064,parcel.zip,BR/data/RS/SantaCruzSul/_pk0064.01,3b4634f38fafd4d3a779b1f7a1075ab2fd6b951509290849f26813319920b2fa.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EWrqPrScICVKtisao6RO6G0BSzNBKvRSjJZ3omIooq-dKQ
76000064,via.zip,BR/data/RS/SantaCruzSul/_pk0064.01,5c7bc9d5d753681db743235e647cb653efe34404aad61b040af89cc2ec68bbe2.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EbYA9I0c3lRFkW6gzywd6nQBA600tOk73GvVAgY7SNuR2w
